Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,26790579775,31264187110,35316491207,33131114322,35296977344,38053606751,43007047822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,29104437355,32348149947,34942948737,30916218544,32621535419,34922782311,38675205293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,47227535291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,13677930124,14085851348,14177437982,8553154580,9035848071,8701334800,11263682694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,3.70574E+11,3.81867E+11,3.81112E+11,2.93482E+11,2.82825E+11,3.1179E+11,3.31047E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1015901205,1115906342,1148058015,965640593,1012147324,1074778461,1177955049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1741809809,1850470042,1859898513,1596800287,1663008687,1769787215,1976814277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,46473128286,49745088112,50577769838,54775994479,57157992434,58174549218,60130106116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,70684558867,72051031654,72989135760,71648867904,68106378710,69602182809,73523538155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.00023E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3131096089,3147616201,3158406034,3151910782,3122287933,3116610112,3127908038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4291159006,4405954638,4563017881,4708336733,4898908676,5141833913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,24978513427,23900872626,23128114787,19779150116,20890936462,22638608224,24961988663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,2.07376E+11,2.09402E+11,2.07818E+11,1.8683E+11,1.9509E+11,2.15914E+11,2.45226E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3.52734E+12,3.73274E+12,3.88392E+12,3.36055E+12,3.46679E+12,3.65675E+12,3.94762E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1353632942,2042817163,2216200810,2445484583,2618587757,2766868072,2955912228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,485998000,498296296.3,520207407.4,540737037,576229629.6,519837037,550892592.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.29417E+11,3.55675E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,60681535893,62682158701,67179956264,71164826721,75704647977,79998045976,85555390387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2.09063E+11,2.09755E+11,2.13809E+11,1.65978E+11,1.60033E+11,1.6739E+11,1.73758E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
